time,P
2023-03-27 8:45:13.1490,100038.36
2023-03-27 8:45:14.0880,100038.64
2023-03-27 8:45:15.0290,100038.97
2023-03-27 8:45:15.9670,100039.15
2023-03-27 8:45:16.9050,100039.15
2023-03-27 8:45:17.8440,100039.11
2023-03-27 8:45:18.7830,100038.38
2023-03-27 8:45:19.7240,100037.11
2023-03-27 8:45:20.6650,100035.26
2023-03-27 8:45:21.6010,100032.92
2023-03-27 8:45:22.5400,100030.59
2023-03-27 8:45:23.4790,100028.58
2023-03-27 8:45:24.4180,100026.42
2023-03-27 8:45:25.3580,100024.17
2023-03-27 8:45:26.2950,100021.79
2023-03-27 8:45:27.2350,100018.97
2023-03-27 8:45:28.1750,100015.75
2023-03-27 8:45:29.1150,100012.66
2023-03-27 8:45:30.0520,100010.15
2023-03-27 8:45:30.9960,100008.36
2023-03-27 8:45:31.9310,100007.11
2023-03-27 8:45:32.8700,100006.42
2023-03-27 8:45:33.8070,100006.15
2023-03-27 8:45:34.7470,100006.06
2023-03-27 8:45:35.6910,100005.95
2023-03-27 8:45:36.6250,100005.79
2023-03-27 8:45:37.5650,100005.79
2023-03-27 8:45:38.5040,100005.84
2023-03-27 8:45:39.4430,100005.95
2023-03-27 8:45:40.3820,100005.95
2023-03-27 8:45:41.3290,100005.66
2023-03-27 8:45:42.2600,100004.69
2023-03-27 8:45:43.2000,100003.26
2023-03-27 8:45:44.1400,100001.44
2023-03-27 8:45:45.0780,99999.67
2023-03-27 8:45:46.0200,99998.36
2023-03-27 8:45:46.9550,99997.6
2023-03-27 8:45:47.8960,99997.47
2023-03-27 8:45:48.8340,99997.47
2023-03-27 8:45:49.7730,99997.71
2023-03-27 8:45:50.7120,99997.71
2023-03-27 8:45:51.6610,99997.4
2023-03-27 8:45:52.5900,99996.6
2023-03-27 8:45:53.5300,99995.64
2023-03-27 8:45:54.4700,99994.34
2023-03-27 8:45:55.4090,99992.75
2023-03-27 8:45:56.3510,99991.52
2023-03-27 8:45:57.2870,99990.73
2023-03-27 8:45:58.2260,99990.06
2023-03-27 8:45:59.1660,99989.75
2023-03-27 8:46:00.1050,99989.71
2023-03-27 8:46:01.0440,99989.69
2023-03-27 8:46:01.9920,99989.62
2023-03-27 8:46:02.9230,99989.55
2023-03-27 8:46:03.8630,99989.24
2023-03-27 8:46:04.8020,99988.97
2023-03-27 8:46:05.7420,99988.04
2023-03-27 8:46:06.6830,99986.69
2023-03-27 8:46:07.6190,99985.02
2023-03-27 8:46:08.5590,99982.93
2023-03-27 8:46:09.4980,99980.58
2023-03-27 8:46:10.4370,99978.15
2023-03-27 8:46:11.3760,99975.81
2023-03-27 8:46:12.3250,99973.29
2023-03-27 8:46:13.2540,99970.69
2023-03-27 8:46:14.1940,99967.8
2023-03-27 8:46:15.1330,99964.9
2023-03-27 8:46:16.0730,99961.83
2023-03-27 8:46:17.0150,99959.32
2023-03-27 8:46:17.9500,99957.44
2023-03-27 8:46:18.8900,99956.09
2023-03-27 8:46:19.8300,99955.45
2023-03-27 8:46:20.7680,99955.45
2023-03-27 8:46:21.7070,99955.45
2023-03-27 8:46:22.6570,99955.51
2023-03-27 8:46:23.5850,99955.64
2023-03-27 8:46:24.5260,99955.66
2023-03-27 8:46:25.4660,99955.66
2023-03-27 8:46:26.4050,99955.29
2023-03-27 8:46:27.3480,99954.9
2023-03-27 8:46:28.2820,99954.38
2023-03-27 8:46:29.2220,99953.9
2023-03-27 8:46:30.1620,99953.46
2023-03-27 8:46:31.1010,99953.31
2023-03-27 8:46:32.0400,99953.13
2023-03-27 8:46:32.9890,99953.0
2023-03-27 8:46:33.9180,99952.94
2023-03-27 8:46:34.8580,99952.94
2023-03-27 8:46:35.7980,99953.03
2023-03-27 8:46:36.7370,99953.16
2023-03-27 8:46:37.6800,99953.32
2023-03-27 8:46:38.6150,99953.53
2023-03-27 8:46:39.5560,99953.83
2023-03-27 8:46:40.4940,99954.12
2023-03-27 8:46:41.4340,99954.5
2023-03-27 8:46:42.3720,99954.93
2023-03-27 8:46:43.3220,99955.31
2023-03-27 8:46:44.2510,99955.43
2023-03-27 8:46:45.1910,99955.44
2023-03-27 8:46:46.1320,99955.44
2023-03-27 8:46:47.0700,99955.48
2023-03-27 8:46:48.0120,99955.5
2023-03-27 8:46:48.9490,99955.57
2023-03-27 8:46:49.8880,99955.73
2023-03-27 8:46:50.8280,99955.9
2023-03-27 8:46:51.7710,99956.16
2023-03-27 8:46:52.7070,99956.34
2023-03-27 8:46:53.6520,99956.53
2023-03-27 8:46:54.5850,99956.71
2023-03-27 8:46:55.5260,99956.83
2023-03-27 8:46:56.4650,99956.89
2023-03-27 8:46:57.4040,99956.93
2023-03-27 8:46:58.3470,99956.96
2023-03-27 8:46:59.2830,99957.1
2023-03-27 8:47:00.2230,99957.1
2023-03-27 8:47:01.1630,99957.03
2023-03-27 8:47:02.1030,99956.83
2023-03-27 8:47:03.0440,99956.57
2023-03-27 8:47:03.9850,99956.19
2023-03-27 8:47:04.9220,99955.8
2023-03-27 8:47:05.8670,99955.18
2023-03-27 8:47:06.8010,99954.87
2023-03-27 8:47:07.7410,99954.57
2023-03-27 8:47:08.6810,99954.31
2023-03-27 8:47:09.6200,99954.31
2023-03-27 8:47:10.5600,99954.41
2023-03-27 8:47:11.5090,99954.68
2023-03-27 8:47:12.4400,99955.03
2023-03-27 8:47:13.3820,99955.6
2023-03-27 8:47:14.3190,99956.02
2023-03-27 8:47:15.2590,99956.27
2023-03-27 8:47:16.2030,99956.38
2023-03-27 8:47:17.1390,99956.38
2023-03-27 8:47:18.0800,99956.34
2023-03-27 8:47:19.0180,99956.34
2023-03-27 8:47:19.9580,99956.51
2023-03-27 8:47:20.8990,99956.95
2023-03-27 8:47:21.8420,99957.61
2023-03-27 8:47:22.7780,99958.12
2023-03-27 8:47:23.7220,99958.65
2023-03-27 8:47:24.6570,99959.16
2023-03-27 8:47:25.5970,99959.2
2023-03-27 8:47:26.5370,99959.33
2023-03-27 8:47:27.4760,99959.42
2023-03-27 8:47:28.4180,99959.63
2023-03-27 8:47:29.3640,99959.87
2023-03-27 8:47:30.2960,99960.48
2023-03-27 8:47:31.2370,99961.81
2023-03-27 8:47:32.1750,99963.8
2023-03-27 8:47:33.1150,99966.85
2023-03-27 8:47:34.0580,99970.48
2023-03-27 8:47:34.9940,99974.24
2023-03-27 8:47:35.9360,99977.95
2023-03-27 8:47:36.8740,99981.2
2023-03-27 8:47:37.8140,99984.18
2023-03-27 8:47:38.7550,99986.93
2023-03-27 8:47:39.6960,99989.44
2023-03-27 8:47:40.6330,99991.6
2023-03-27 8:47:41.5780,99993.73
2023-03-27 8:47:42.5120,99995.24
2023-03-27 8:47:43.4520,99996.9
2023-03-27 8:47:44.3920,99998.76
2023-03-27 8:47:45.3310,100000.59
2023-03-27 8:47:46.2710,100002.41
2023-03-27 8:47:47.2190,100005.04
2023-03-27 8:47:48.1500,100007.47
2023-03-27 8:47:49.0900,100009.87
2023-03-27 8:47:50.0300,100012.15
2023-03-27 8:47:50.9690,100014.95
2023-03-27 8:47:51.9130,100017.34
2023-03-27 8:47:52.8480,100019.87
2023-03-27 8:47:53.7880,100022.48
2023-03-27 8:47:54.7270,100025.47
2023-03-27 8:47:55.6690,100028.46
2023-03-27 8:47:56.6060,100030.85
2023-03-27 8:47:57.5500,100032.51
2023-03-27 8:47:58.4850,100033.64
2023-03-27 8:47:59.4250,100034.47
2023-03-27 8:48:00.3640,100034.57
2023-03-27 8:48:01.3030,100034.58
2023-03-27 8:48:02.2450,100034.7
2023-03-27 8:48:03.1820,100034.7
2023-03-27 8:48:04.1210,100034.66
2023-03-27 8:48:05.0610,100034.4
2023-03-27 8:48:06.0010,100034.07
2023-03-27 8:48:06.9400,100033.73
2023-03-27 8:48:07.8830,100033.32
2023-03-27 8:48:08.8170,100033.32
2023-03-27 8:48:09.7570,100033.33
2023-03-27 8:48:10.6960,100033.5
2023-03-27 8:48:11.6360,100033.6
2023-03-27 8:48:12.5780,100033.99
2023-03-27 8:48:13.5140,100034.71
2023-03-27 8:48:14.4540,100036.47
2023-03-27 8:48:15.3930,100038.91
2023-03-27 8:48:16.3340,100041.88
